,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Bonthe,100,SL,1584315138,84,7.53,-12.51,80.92,8.57
272,Kaeo,100,NZ,1584314954,76,-35.1,173.78,69.01,5.99
273,Kangaatsiaq,100,GL,1584315328,95,68.31,-53.46,2.61,19.64
274,Ambilobe,100,MG,1584315329,90,-13.2,49.05,78.57,5.39
275,Cayenne,40,GF,1584315330,74,4.93,-52.33,80.6,3.36
276,Huilong,37,CN,1584315332,46,31.81,121.66,51.01,9.64
277,Garhi Khairo,84,PK,1584315333,37,28.06,67.98,69.08,4.29
278,Tiksi,100,RU,1584315334,81,71.69,128.87,7.47,20.62
279,Vieux Fort,20,LC,1584315335,78,13.72,-60.95,78.8,8.05
280,Edéa,40,CM,1584315336,88,3.8,10.13,82.4,1.12
281,Falāvarjān,3,IR,1584315337,54,32.56,51.51,35.6,4.7
282,Talara,1,PE,1584315339,100,-4.58,-81.27,62.6,11.41
283,Nemuro,83,JP,1584315340,68,43.32,145.57,27.66,4.72
284,Lovozero,100,RU,1584315341,93,68.0,35.01,22.84,6.35
285,Kafanchan,31,NG,1584315342,11,9.58,8.3,70.05,5.66
286,Kuleshovka,87,RU,1584315343,62,47.08,39.56,21.2,8.95
287,Klyuchi,100,RU,1584315344,83,52.27,79.17,36.27,15.73
288,Kokkola,90,FI,1584315345,93,63.84,23.13,39.0,14.99
289,Ancud,90,CL,1584315347,67,-41.87,-73.82,62.6,9.17
290,Devils Lake,90,US,1584315273,92,48.11,-98.87,24.8,10.29
291,Honningsvåg,20,NO,1584315349,67,70.98,25.97,19.4,11.41
292,Onega,83,RU,1584315350,80,63.91,38.14,29.68,16.96
293,Ivanteyevka,23,RU,1584315351,85,55.97,37.92,27.0,6.71
294,Port-Gentil,40,GA,1584315352,88,-0.72,8.78,82.4,4.7
295,Beira,4,MZ,1584315353,76,-19.84,34.84,81.81,10.67
296,Norman Wells,20,CA,1584315296,78,65.28,-126.83,15.8,21.92
297,Bodden Town,20,KY,1584315356,74,19.28,-81.25,80.6,14.99
298,Lubumbashi,100,CD,1584315357,96,-11.66,27.48,65.17,5.5
299,Saint-Joseph,100,RE,1584315358,69,-21.37,55.62,75.2,11.41
300,Puri,40,IN,1584315359,94,19.8,85.85,75.2,2.08
301,Tadine,100,NC,1584315360,67,-21.55,167.88,84.72,12.17
302,Sabzawār,100,IR,1584315361,66,36.21,57.68,53.92,12.84
303,Almaznyy,1,RU,1584315363,62,48.04,40.05,21.2,8.95
304,Usinsk,100,RU,1584315364,81,65.99,57.53,9.23,22.64
305,Sīwah,0,EG,1584315365,32,29.2,25.52,68.0,6.87
306,Diamantino,84,BR,1584315366,90,-14.41,-56.45,74.71,2.71
307,Saldanha,100,ZA,1584315367,72,-33.01,17.94,60.8,9.17
308,Luganville,100,VU,1584315368,95,-15.53,167.17,77.27,1.79
309,Snåase,100,NO,1584315369,96,64.25,12.38,21.74,20.96
310,Owerri,80,NG,1584315371,83,5.48,7.03,84.2,5.82
311,Oinacu,1,RO,1584315372,63,43.95,26.02,35.01,1.12
312,Sāl,47,JO,1584315373,87,32.57,35.91,51.8,2.04
313,Hay River,75,CA,1584315374,68,60.82,-115.8,28.4,16.11
314,Matagami,1,CA,1584315375,60,49.75,-77.63,8.6,2.24
315,Khani,90,GE,1584315376,100,41.96,42.96,44.6,10.29
316,Turbat,78,PK,1584315093,52,26.0,63.04,65.73,0.31
317,Maningrida,6,AU,1584315379,67,-12.07,134.27,81.97,5.23
318,Ojinaga,1,MX,1584315380,20,29.57,-104.42,87.8,12.75
319,Congleton,90,GB,1584315239,70,53.16,-2.21,46.0,10.29
320,Nuuk,20,GL,1584315382,64,64.18,-51.72,1.4,18.34
321,Broome,1,US,1584315383,31,42.25,-75.83,35.01,14.99
322,Dingle,0,PH,1584315384,74,11.0,122.67,76.51,10.18
323,San Luis,0,AR,1584315232,56,-33.3,-66.34,65.1,20.36
324,Manali,20,IN,1584315387,83,13.17,80.27,82.0,7.63
325,Tāndā,19,IN,1584315388,53,26.55,82.65,61.9,4.45
326,Liverpool,75,GB,1584315372,75,53.41,-2.98,46.4,12.75
327,Dalvik,20,IS,1584315390,68,65.97,-18.53,30.2,24.16
328,Khovd,51,MN,1584315391,31,48.01,91.64,23.65,5.17
329,Los Baños,75,PH,1584315392,74,14.17,121.18,81.0,5.82
330,Salekhard,60,RU,1584315393,98,66.53,66.6,-9.26,3.29
331,Ulladulla,75,AU,1584315395,100,-35.35,150.47,62.6,13.87
332,Shingū,20,JP,1584314727,75,33.73,135.98,42.8,11.41
333,Dorado,20,PR,1584315397,65,18.46,-66.27,77.0,10.29
334,Marawi,12,PH,1584315398,73,8.0,124.29,73.99,7.0
335,Caravelas,79,BR,1584315399,79,-17.71,-39.25,80.38,8.3
336,Los Llanos de Aridane,20,ES,1584315400,68,28.66,-17.92,64.4,21.92
337,Torbay,40,CA,1584315313,73,47.67,-52.73,27.0,14.99
338,Paramonga,65,PE,1584315308,88,-10.67,-77.83,72.86,9.8
339,Mama,100,RU,1584315404,96,58.31,112.9,24.24,5.26
340,Aksarka,0,RU,1584315405,75,66.56,67.8,-8.84,3.24
341,Hualmay,98,PE,1584315406,76,-11.1,-77.61,72.79,4.32
342,Vicuña,90,CL,1584315407,82,-30.03,-70.71,62.6,6.93
343,Kupino,100,RU,1584315408,84,54.37,77.3,34.65,25.86
344,Nanortalik,58,GL,1584314698,71,60.14,-45.24,20.21,19.89
345,Port Moresby,40,PG,1584315410,94,-9.44,147.18,77.0,9.17
346,Sinnamary,45,GF,1584315412,77,5.38,-52.95,79.88,16.13
347,Kununurra,0,AU,1584315413,69,-15.77,128.73,80.6,4.36
348,Magadan,100,RU,1584315414,66,59.57,150.8,7.92,14.43
349,Kavaratti,59,IN,1584315415,70,10.57,72.64,82.0,5.86
350,Lavrentiya,48,RU,1584315416,89,65.58,-171.0,27.88,8.81
351,Luwuk,47,ID,1584315417,75,-0.95,122.79,81.12,3.44
352,Loudéac,90,FR,1584315418,93,48.18,-2.75,46.99,6.93
353,Mount Gambier,0,AU,1584315420,76,-37.83,140.77,57.2,11.41
354,Leningradskiy,25,RU,1584315421,72,69.38,178.42,15.1,5.57
355,Constitución,0,CL,1584315422,86,-35.33,-72.42,53.1,7.0
356,Port Augusta,0,AU,1584315423,56,-32.5,137.77,71.01,1.12
357,Asău,0,RO,1584315424,58,46.43,26.4,25.0,2.24
358,Lenger,100,KZ,1584315426,34,42.18,69.88,53.6,6.71
359,Semnan,47,IR,1584315427,49,35.57,53.4,55.45,4.41
360,San Matías,74,BO,1584315428,72,-16.37,-58.4,81.77,6.71
361,Xunchang,100,CN,1584315429,54,28.45,104.72,56.8,4.56
362,Pontianak,12,ID,1584315430,95,-0.03,109.33,76.53,2.3
363,Paraná,99,AR,1584315431,94,-31.73,-60.52,70.0,1.01
364,Vestmannaeyjar,100,IS,1584315432,89,63.44,-20.27,38.32,43.71
365,Launceston,89,AU,1584315434,67,-41.45,147.17,64.0,4.7
366,Velizh,0,RU,1584315435,72,55.61,31.2,27.0,5.14
367,Poum,48,NC,1584314988,79,-20.23,164.02,82.38,13.15
368,Manutuke,100,NZ,1584315437,63,-38.68,177.92,71.01,3.0
369,Tuatapere,98,NZ,1584315438,85,-46.13,167.68,54.0,10.0
370,Sorong,20,ID,1584314982,69,-0.88,131.25,82.36,3.44
371,Vrangel',33,RU,1584315441,69,42.73,133.08,29.34,21.09
372,Tinskoy,100,RU,1584315442,94,56.15,96.92,30.06,7.16
373,Skellefteå,69,SE,1584315443,88,64.75,20.95,39.0,9.17
374,Baiyin,100,CN,1584315444,79,36.56,104.21,35.01,4.47
375,Egvekinot,98,RU,1584314985,97,66.32,-179.17,12.7,4.59
376,Saýat,100,TM,1584315446,36,38.78,63.88,64.4,6.93
377,Aklavik,5,CA,1584315448,60,68.22,-135.01,6.8,6.93
378,Markova,0,UA,1584315449,27,48.68,24.41,26.17,4.34
379,Fare,0,PF,1584314683,71,-16.7,-151.02,83.14,10.71
380,Namatanai,98,PG,1584315451,76,-3.67,152.43,83.28,12.1
381,Adrar,0,MR,1584315452,17,20.5,-10.07,70.34,12.3
382,Bonavista,42,CA,1584315453,79,48.65,-53.11,26.01,8.99
383,Mozarlândia,81,BR,1584315454,86,-14.74,-50.57,75.54,5.03
384,Mnogovershinnyy,0,RU,1584315455,81,53.94,139.92,4.42,4.0
385,Orocué,90,CO,1584315457,38,4.79,-71.34,87.71,3.44
386,Tutóia,100,BR,1584315458,95,-2.76,-42.27,75.02,2.28
387,Abakaliki,63,NG,1584315459,54,6.32,8.12,84.2,2.24
388,Hobyo,100,SO,1584315460,83,5.35,48.53,78.96,11.18
389,Babushkin,100,RU,1584315461,97,51.71,105.86,25.57,5.46
390,Pombas,20,CV,1584315462,73,17.15,-25.02,69.8,21.92
391,Angoche,87,MZ,1584314984,96,-16.23,39.91,71.28,5.01
392,Sturgeon Bay,1,US,1584315465,68,44.83,-87.38,33.01,8.05
393,São Filipe,14,CV,1584315466,71,14.9,-24.5,71.31,18.43
394,Flagstaff,20,US,1584315301,49,35.2,-111.65,66.99,16.11
395,Buala,97,SB,1584315468,81,-8.14,159.59,82.65,8.7
396,Akim Swedru,86,GH,1584315298,94,5.89,-1.02,76.82,2.68
397,Castro Urdiales,75,ES,1584315470,93,43.38,-3.22,50.0,9.17
398,Byron Bay,40,AU,1584315471,57,-28.65,153.62,77.0,18.34
399,Port Hedland,0,AU,1584315473,78,-20.32,118.57,82.4,8.03
400,Margate,79,GB,1584315474,93,51.38,1.39,48.0,2.24
401,Clayton,40,US,1584315475,93,33.53,-84.37,71.6,5.7
402,Brigantine,1,US,1584315476,56,39.41,-74.36,44.6,4.7
403,Clyde River,1,CA,1584314989,74,70.47,-68.59,-23.8,17.22
404,Opuwo,93,NA,1584315478,49,-18.06,13.84,68.18,2.08
405,Honiara,40,SB,1584315479,79,-9.43,159.95,86.0,6.93
406,Hong Kong,20,HK,1584315344,68,22.29,114.16,68.0,17.22
407,Prieska,0,ZA,1584315482,57,-29.66,22.75,68.65,10.07
408,Matamoros,75,MX,1584315483,21,25.53,-103.25,91.4,5.82
409,Buenos Aires,75,AR,1584315277,68,-34.61,-58.38,69.8,10.29
410,Natal,40,BR,1584315485,94,-5.79,-35.21,78.8,3.36
411,Kodinsk,72,RU,1584315486,93,58.69,99.18,27.55,9.4
412,Husavik,20,IS,1584315487,68,66.04,-17.34,30.2,24.16
413,Wukari,12,NG,1584315489,11,7.85,9.78,76.14,3.98
414,Samarai,5,PG,1584315490,58,-10.62,150.67,86.31,4.59
415,Punta Alta,0,AR,1584315491,50,-38.88,-62.07,64.26,18.07
416,Klaksvík,100,FO,1584315492,73,62.23,-6.59,26.6,12.1
417,Viedma,0,AR,1584315493,50,-40.81,-63.0,64.56,16.96
418,Pochutla,40,MX,1584315494,66,15.74,-96.47,88.0,13.87
419,Dunedin,50,NZ,1584315495,65,-45.87,170.5,60.01,24.0
420,Lake Charles,90,US,1584315496,61,30.21,-93.2,80.6,4.83
421,Piaçabuçu,86,BR,1584315498,81,-10.41,-36.43,80.35,9.04
422,La Ronge,75,CA,1584315499,57,55.1,-105.28,17.6,12.75
423,Chupa,100,RU,1584315500,97,66.27,33.05,31.96,13.13
424,Toora-Khem,100,RU,1584315501,91,52.47,96.11,20.12,3.8
425,Sangar,98,RU,1584315502,82,63.92,127.47,-1.01,14.52
426,Tual,74,ID,1584315503,76,-5.67,132.75,81.84,8.5
427,Cochrane,1,CA,1584315255,60,51.18,-114.47,19.0,4.7
428,Chegdomyn,64,RU,1584315506,89,51.12,133.02,9.43,1.95
429,San Nicolas,20,PH,1584315507,88,18.17,120.6,71.6,1.12
430,Fortuna,40,US,1584314986,70,40.6,-124.16,48.0,11.41
431,Ascension,40,US,1584315509,45,30.22,-90.9,82.99,4.7
432,Waipawa,0,NZ,1584315510,49,-41.41,175.52,71.6,16.11
433,Tucumcari,90,US,1584315511,71,35.17,-103.72,51.8,14.99
434,Crotone,28,IT,1584315513,70,39.09,17.12,49.8,17.05
435,Knysna,100,ZA,1584315514,93,-34.04,23.05,60.8,4.7
436,Antsohihy,100,MG,1584315515,96,-14.88,47.99,73.47,6.58
437,Sechura,17,PE,1584315516,78,-5.56,-80.82,76.69,12.28
438,Kabanjahe,40,ID,1584315517,94,3.1,98.49,78.8,2.24
439,Lorengau,100,PG,1584315518,74,-2.02,147.27,83.62,8.61
440,Orlik,100,RU,1584315520,90,52.52,99.83,14.47,3.67
441,Cabra,20,ES,1584315521,72,37.47,-4.44,60.8,11.41
442,Svetlaya,0,RU,1584315522,49,46.54,138.33,21.58,2.71
443,Mackenzie,90,CA,1584315523,38,55.3,-123.17,24.8,4.7
444,Falam,67,MM,1584315524,62,22.92,93.68,56.68,1.45
445,Mayo,40,US,1584315525,52,38.89,-76.51,50.0,3.02
446,Maniitsoq,38,GL,1584315527,67,65.42,-52.9,0.77,10.6
447,Shahr-e Bābak,68,IR,1584315528,57,30.12,55.12,48.63,4.88
448,Haimen,60,CN,1584315529,93,23.19,116.61,55.4,16.11
449,Pirenópolis,75,BR,1584315530,83,-15.85,-48.96,71.6,4.7
450,Atar,0,MR,1584315531,18,20.52,-13.05,67.3,7.47
451,Mtwara,95,TZ,1584315532,98,-10.27,40.18,73.62,2.42
452,Killybegs,25,IE,1584315534,89,54.63,-8.45,35.01,12.73
453,Madang,100,PG,1584315535,84,-5.22,145.8,78.53,11.18
454,Provincia di Ancona,0,IT,1584315536,73,43.55,13.17,44.01,2.24
455,Bubaque,100,GW,1584315537,59,11.28,-15.83,81.99,20.87
456,General Roca,0,AR,1584315429,27,-39.03,-67.58,77.0,4.7
457,Grass Valley,90,US,1584315539,96,39.22,-121.06,53.6,5.66
458,Entre Rios,87,BR,1584315541,88,-11.94,-38.08,72.32,2.73
459,Port Hardy,20,CA,1584315542,36,50.7,-127.42,44.6,8.05
460,Yaan,3,NG,1584315543,15,7.38,8.57,80.71,3.49
461,Saquena,97,PE,1584315544,86,-4.67,-73.52,78.51,2.62
462,Kirakira,100,SB,1584314987,86,-10.45,161.92,79.21,7.87
463,Jiayuguan City,100,CN,1584315546,26,39.82,98.3,34.79,5.37
464,Aswān,0,EG,1584315547,43,24.09,32.91,69.8,8.05
465,Mukhen,88,RU,1584315549,85,48.1,136.1,15.94,7.74
466,Leshukonskoye,100,RU,1584315550,89,64.9,45.76,18.95,11.43
467,Mékhé,1,SN,1584315551,83,15.11,-16.62,69.8,13.87
468,Benguela,100,AO,1584315552,80,-12.58,13.41,79.56,4.07
469,Segezha,100,RU,1584315553,86,63.74,34.32,30.74,18.45
470,Tura,82,IN,1584315554,74,25.52,90.22,64.6,0.83
471,Yangi Marg`ilon,100,UZ,1584315556,45,40.43,71.72,48.2,2.24
472,Timiryazevskiy,100,RU,1584315557,74,56.49,84.88,37.99,17.9
473,Igra,98,RU,1584315558,91,57.56,53.05,22.91,8.52
474,Harku,90,EE,1584315559,69,59.13,24.37,39.0,23.04
475,Esim,53,GH,1584315560,90,4.87,-2.24,78.96,4.29
476,Suez,0,EG,1584315398,63,29.97,32.53,64.78,1.83
477,Aitape,98,PG,1584315562,77,-3.14,142.35,79.18,15.32
478,Léo,83,BF,1584315564,35,11.1,-2.1,87.93,5.88
479,Saint Anthony,1,US,1584315565,55,45.02,-93.22,39.2,8.05
480,Hasaki,75,JP,1584315566,86,35.73,140.83,45.0,6.93
481,Camacha,40,PT,1584315567,72,33.08,-16.33,62.6,13.87
482,Imeni Poliny Osipenko,0,RU,1584315568,82,52.42,136.49,7.93,2.21
483,Bilibino,1,RU,1584315570,84,68.05,166.44,1.15,3.71
484,Lumphat,46,KH,1584315571,72,13.49,106.98,75.52,9.06
485,Erzin,75,TR,1584315572,100,36.96,36.2,63.0,6.93
486,Kalmunai,79,LK,1584315573,78,7.42,81.82,82.87,15.12
487,Qeshm,20,IR,1584315574,72,26.96,56.27,71.6,2.24
488,Shenjiamen,6,CN,1584315575,67,29.96,122.3,51.04,16.64
489,Ahipara,100,NZ,1584315576,67,-35.17,173.17,67.23,6.78
490,Pailón,75,BO,1584315578,78,-17.65,-62.75,86.0,4.7
491,Ţahţā,0,EG,1584315579,56,26.77,31.5,68.0,8.05
492,Mehamn,20,NO,1584315499,67,71.04,27.85,19.4,11.41
493,Zhanakorgan,100,KZ,1584315581,26,43.91,67.25,57.83,11.1
494,Sambava,100,MG,1584315582,83,-14.27,50.17,73.94,3.94
495,Chalmette,1,US,1584315583,54,29.94,-89.96,80.6,6.93
496,Bara,5,NG,1584315584,15,10.37,10.73,67.57,5.37
497,Chapleau,20,CA,1584315586,62,47.84,-83.4,19.4,2.24
498,Plettenberg Bay,100,ZA,1584315587,86,-34.05,23.37,61.84,6.08
499,Acapulco de Juárez,5,MX,1584315588,70,16.86,-99.89,86.0,8.05
500,Santa Cruz del Norte,20,CU,1584315589,61,23.15,-81.92,80.6,11.41
501,Pangody,47,RU,1584315590,88,65.85,74.49,-8.93,8.43
502,Shahe,100,CN,1584315591,33,39.27,113.55,37.35,8.19
503,Teya,94,RU,1584315592,95,60.38,92.63,24.44,4.61
504,Belaya Gora,0,RU,1584315594,92,68.53,146.42,-16.15,1.41
505,Lompoc,90,US,1584315424,81,34.64,-120.46,57.2,10.29
506,Veshenskaya,0,RU,1584315596,60,49.63,41.73,27.88,12.73
507,Sabalgarh,88,IN,1584315597,42,26.25,77.4,60.31,4.72
508,Payson,75,US,1584315598,41,40.04,-111.73,60.8,5.82
509,San Patricio,20,MX,1584315431,74,19.22,-104.7,84.2,11.41
510,Talā,0,EG,1584315600,89,30.68,30.94,55.85,3.15
511,Baghmara,42,IN,1584315601,64,23.8,86.21,70.27,4.76
512,Safaga,0,EG,1584315603,72,26.73,33.94,64.49,3.58
513,Jiazi,36,CN,1584315604,66,22.88,116.07,63.01,9.62
514,Chon Daen,20,TH,1584315605,100,16.19,100.86,73.4,1.68
515,Estelle,1,US,1584315606,65,29.85,-90.11,81.0,8.05
516,Ukiah,75,US,1584315607,57,39.15,-123.21,54.0,6.93
517,Gravelbourg,100,CA,1584315608,76,49.88,-106.55,22.33,8.34
518,Gushikawa,20,JP,1584315610,45,26.35,127.87,64.4,10.29
519,Nova Esperanca,92,BR,1584315611,79,4.44,-61.12,73.71,3.33
520,Saint-François,39,FR,1584315612,61,46.42,3.91,50.0,6.93
521,Montoro,20,ES,1584315613,72,38.02,-4.38,60.8,11.41
522,Stepnyak,16,KZ,1584315614,86,52.83,70.78,27.68,11.63
523,Sikonge,68,TZ,1584315615,87,-5.63,32.77,65.28,1.05
524,Rūdbār,48,AF,1584315616,26,30.15,62.6,67.32,7.4
525,Oxapampa,100,PE,1584315618,99,-10.58,-75.4,56.82,0.94
526,Luga,58,RU,1584315619,62,58.74,29.85,30.09,11.97
527,Grand-Lahou,69,CI,1584315620,83,5.14,-5.02,82.56,13.98
528,Ponta Delgada,20,PT,1584315621,81,37.73,-25.67,51.8,3.36
529,Northam,1,GB,1584315622,100,51.03,-4.22,44.01,5.82
530,Pithora,63,IN,1584315623,69,21.27,82.52,70.56,3.47
531,Warrington,75,GB,1584315624,75,53.39,-2.58,46.4,12.75
532,Shache,0,CN,1584315626,22,38.42,77.24,42.3,5.66
533,Te Anau,63,NZ,1584315627,82,-45.42,167.72,50.43,8.5
534,Pastavy,18,BY,1584315628,52,55.12,26.83,29.68,12.77
535,Leh,0,IN,1584315629,49,34.17,77.58,8.53,2.17
536,Geraldton,40,AU,1584315630,88,-28.77,114.6,68.0,8.05
537,Udachny,90,RU,1584315632,92,66.42,112.4,21.2,4.47
538,Bathsheba,20,BB,1584315633,78,13.22,-59.52,77.0,4.7
539,Talaya,91,RU,1584315634,83,61.38,152.75,-5.93,3.65
540,Laas,75,IT,1584315635,85,46.62,10.7,32.0,2.24
541,Amparafaravola,99,MG,1584315636,88,-17.58,48.22,62.65,4.05
542,Beyneu,67,KZ,1584315637,62,45.32,55.2,45.84,7.31
543,Kanye,0,BW,1584315638,37,-24.97,25.33,69.08,5.21
544,Fairlie,59,GB,1584315640,93,55.76,-4.86,42.01,6.93
